# Saved by map_marker_app_yaml_v1_5_waypoints.py
# yaml: /home/changhyeon/isaac_ros_ws/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.yaml
# image: /home/changhyeon/isaac_ros_ws/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.png
# resolution: 0.05
# origin: [-27.975, -41.37500152587891, 0.0]
# use_center: True
id,type,source,route_id,seq,u_px,v_px,theta_img_deg,x_map,y_map,theta_map_rad
mk_1762074557598,start,live,8,1,399.00,518.00,180.00,-8.000000,7.499998,-3.141593
mk_1762074559346,waypoint,live,8,2,325.00,518.00,180.00,-11.700000,7.499998,-3.141593
mk_1762074560246,waypoint,live,8,3,297.00,464.00,270.00,-13.100000,10.199998,1.570796
mk_1762074560914,waypoint,live,8,4,297.00,368.00,270.00,-13.100000,14.999998,1.570796
mk_1762074561513,waypoint,live,8,5,297.00,272.00,270.00,-13.100000,19.799998,1.570796
mk_1762074562163,waypoint,live,8,6,295.00,176.00,270.00,-13.200000,24.599998,1.570796
mk_1762074563197,waypoint,live,8,7,317.00,128.00,0.00,-12.100000,26.999998,0.000000
mk_1762074564414,waypoint,live,8,8,385.00,128.00,90.00,-8.700000,26.999998,-1.570796
mk_1762074565467,waypoint,live,8,9,383.00,208.00,90.00,-8.800000,22.999998,-1.570796
mk_1762074566415,waypoint,live,8,10,387.00,288.00,90.00,-8.600000,18.999998,-1.570796
mk_1762074567400,waypoint,live,8,11,391.00,374.00,90.00,-8.400000,14.699998,-1.570796
mk_1762074568448,waypoint,live,8,12,393.00,454.00,90.00,-8.300000,10.699998,-1.570796
mk_1762074571690,goal,live,8,13,397.00,518.00,180.00,-8.100000,7.499998,-3.141593
mk_1762074580499,start,live,9,1,201.00,522.00,0.00,-17.900000,7.299998,0.000000
mk_1762074581514,waypoint,live,9,2,263.00,522.00,0.00,-14.800000,7.299998,0.000000
mk_1762074582548,waypoint,live,9,3,331.00,528.00,0.00,-11.400000,6.999998,0.000000
mk_1762074583897,waypoint,live,9,4,399.00,526.00,0.00,-8.000000,7.099998,0.000000
mk_1762074585554,waypoint,live,9,5,461.00,526.00,180.00,-4.900000,7.099998,-3.141593
mk_1762074586212,waypoint,live,9,6,393.00,526.00,180.00,-8.300000,7.099998,-3.141593
mk_1762074586867,waypoint,live,9,7,321.00,528.00,180.00,-11.900000,6.999998,-3.141593
mk_1762074587780,waypoint,live,9,8,267.00,528.00,180.00,-14.600000,6.999998,-3.141593
mk_1762074589909,waypoint,live,9,9,201.00,532.00,0.00,-17.900000,6.799998,0.000000
mk_1762074594297,goal,live,9,10,213.00,548.00,90.00,-17.300000,5.999998,-1.570796
