# Saved by map_marker_app_yaml_v1_5_waypoints.py
# yaml: /Users/lch/Development/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.yaml
# image: /Users/lch/Development/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.png
# resolution: 0.05
# origin: [-27.975, -41.37500152587891, 0.0]
# use_center: True
id,type,source,route_id,seq,u_px,v_px,theta_img_deg,x_map,y_map,theta_map_rad
mk_1761987161589,start,live,1,1,467.00,536.00,180.00,-4.600000,6.599998,-3.141593
mk_1761987162806,waypoint,live,1,2,370.00,541.00,180.00,-9.450000,6.349998,-3.141593
mk_1761987163955,waypoint,live,1,3,297.00,543.00,160.02,-13.100000,6.249998,-2.792822
mk_1761987165022,waypoint,live,1,4,247.00,590.00,90.00,-15.600000,3.899998,-1.570796
mk_1761987166022,waypoint,live,1,5,261.00,661.00,4.09,-14.900000,0.349998,-0.071307
mk_1761987166973,waypoint,live,1,6,355.00,665.00,0.00,-10.200000,0.149998,0.000000
mk_1761987167790,waypoint,live,1,7,423.00,635.00,277.59,-6.800000,1.649998,1.438245
mk_1761987170875,waypoint,live,1,8,442.00,562.00,0.00,-5.850000,5.299998,0.000000
mk_1761987175322,goal,live,1,9,513.00,575.00,90.00,-2.300000,4.649998,-1.570796
mk_1761987188740,start,live,2,1,509.00,683.00,90.00,-2.500000,-0.750002,-1.570796
mk_1761987190506,goal,live,2,2,415.00,706.00,182.05,-7.200000,-1.900002,3.105894
mk_1761987191373,start,live,3,1,336.00,682.00,270.00,-11.150000,-0.700002,1.570796
mk_1761987195976,waypoint,live,3,2,276.00,590.00,270.00,-14.150000,3.899998,1.570796
mk_1761987197173,waypoint,live,3,3,283.00,498.00,270.00,-13.800000,8.499998,1.570796
mk_1761987197957,waypoint,live,3,4,295.00,418.00,270.00,-13.200000,12.499998,1.570796
mk_1761987198639,waypoint,live,3,5,297.00,302.00,270.00,-13.100000,18.299998,1.570796
mk_1761987199657,waypoint,live,3,6,299.00,226.00,270.00,-13.000000,22.099998,1.570796
mk_1761987201526,waypoint,live,3,7,330.00,156.00,0.00,-11.450000,25.599998,0.000000
mk_1761987202496,waypoint,live,3,8,400.00,165.00,90.00,-7.950000,25.149998,-1.570796
mk_1761987203290,waypoint,live,3,9,405.00,250.00,90.00,-7.700000,20.899998,-1.570796
mk_1761987203957,waypoint,live,3,10,405.00,323.00,90.00,-7.700000,17.249998,-1.570796
mk_1761987204646,waypoint,live,3,11,402.00,424.00,90.00,-7.850000,12.199998,-1.570796
mk_1761987205462,waypoint,live,3,12,400.00,541.00,90.00,-7.950000,6.349998,-1.570796
mk_1761987207441,waypoint,live,3,13,402.00,617.00,180.00,-7.850000,2.549998,-3.141593
mk_1761987210708,goal,live,3,14,325.00,617.00,178.92,-11.700000,2.549998,-3.122727
mk_1761987217458,start,live,4,1,216.00,623.00,270.00,-17.150000,2.249998,1.570796
mk_1761987219807,waypoint,live,4,2,217.00,538.00,0.00,-17.100000,6.499998,0.000000
mk_1761987220624,waypoint,live,4,3,271.00,542.00,0.00,-14.400000,6.299998,0.000000
mk_1761987221290,waypoint,live,4,4,355.00,540.00,0.00,-10.200000,6.399998,0.000000
mk_1761987221893,waypoint,live,4,5,412.00,541.00,90.00,-7.350000,6.349998,-1.570796
mk_1761987222557,waypoint,live,4,6,415.00,615.00,179.42,-7.200000,2.649998,-3.131389
mk_1761987223207,waypoint,live,4,7,292.00,617.00,180.00,-13.350000,2.549998,-3.141593
mk_1761987227393,goal,live,4,8,223.00,616.00,180.00,-16.800000,2.599998,-3.141593
mk_1761987230941,start,live,5,1,125.00,521.00,270.00,-21.700000,7.349998,1.570796
mk_1761987233057,waypoint,live,5,2,124.00,455.00,180.00,-21.750000,10.649998,-3.141593
mk_1761987234040,waypoint,live,5,3,100.00,436.00,270.00,-22.950000,11.599998,1.570796
mk_1761987234907,waypoint,live,5,4,94.00,355.00,270.00,-23.250000,15.649998,1.570796
mk_1761987235624,waypoint,live,5,5,96.00,256.00,270.00,-23.150000,20.599998,1.570796
mk_1761987236328,waypoint,live,5,6,104.00,179.00,270.00,-22.750000,24.449998,1.570796
mk_1761987240413,waypoint,live,5,7,130.00,130.00,0.00,-21.450000,26.899998,0.000000
mk_1761987241191,waypoint,live,5,8,189.00,139.00,90.00,-18.500000,26.449998,-1.570796
mk_1761987242124,waypoint,live,5,9,194.00,222.00,90.00,-18.250000,22.299998,-1.570796
mk_1761987242824,waypoint,live,5,10,195.00,300.00,90.00,-18.200000,18.399998,-1.570796
mk_1761987243541,waypoint,live,5,11,195.00,383.00,90.00,-18.200000,14.249998,-1.570796
mk_1761987244391,waypoint,live,5,12,193.00,480.00,90.00,-18.300000,9.399998,-1.570796
mk_1761987248075,goal,live,5,13,181.00,518.00,180.00,-18.900000,7.499998,-3.141593
