# Saved by map_marker_app_yaml_v1_5_waypoints.py
# yaml: /Users/lch/Development/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.yaml
# image: /Users/lch/Development/map_marker_gen/maps/carter_navigation_fullwarehouse_pi.png
# resolution: 0.05
# origin: [-27.975, -41.37500152587891, 0.0]
# use_center: True
id,type,source,route_id,seq,u_px,v_px,theta_img_deg,x_map,y_map,theta_map_rad
mk_1761987946006,start,live,1,1,198.00,651.00,180.00,-18.050000,0.849998,-3.141593
mk_1761987947207,waypoint,live,1,2,166.00,609.00,270.00,-19.650000,2.949998,1.570796
mk_1761987948640,waypoint,live,1,3,237.00,578.00,0.00,-16.100000,4.499998,0.000000
mk_1761987949540,waypoint,live,1,4,352.00,577.00,0.00,-10.350000,4.549998,0.000000
mk_1761987950262,waypoint,live,1,5,403.00,538.00,270.00,-7.800000,6.499998,1.570796
mk_1761987951174,waypoint,live,1,6,400.00,450.00,270.00,-7.950000,10.899998,1.570796
mk_1761987953758,goal,live,1,7,397.00,351.00,270.00,-8.100000,15.849998,1.570796
mk_1761987955442,start,live,2,1,390.00,129.00,180.00,-8.450000,26.949998,-3.141593
mk_1761987956340,waypoint,live,2,2,308.00,143.00,90.00,-12.550000,26.249998,-1.570796
mk_1761987957107,waypoint,live,2,3,306.00,226.00,90.00,-12.650000,22.099998,-1.570796
mk_1761987957807,waypoint,live,2,4,305.00,327.00,90.00,-12.700000,17.049998,-1.570796
mk_1761987958474,waypoint,live,2,5,305.00,423.00,90.00,-12.700000,12.249998,-1.570796
mk_1761987959225,waypoint,live,2,6,307.00,489.00,90.00,-12.600000,8.949998,-1.570796
mk_1761987960091,waypoint,live,2,7,325.00,545.00,0.00,-11.700000,6.149998,0.000000
mk_1761987961792,waypoint,live,2,8,393.00,542.00,0.00,-8.300000,6.299998,0.000000
mk_1761987962475,waypoint,live,2,9,452.00,542.00,0.00,-5.350000,6.299998,0.000000
mk_1761987963292,waypoint,live,2,10,524.00,544.00,0.00,-1.750000,6.199998,0.000000
mk_1761987967047,goal,live,2,11,589.00,537.00,270.00,1.500000,6.549998,1.570796
